Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Alamat,Desa,Kecamatan,Lintang,Bujur,PD_L,PD_P,PD_Total,Guru,Tendik
SPS POS PAUD ANGGREK,69986887,SPS,Swasta,JL. KUBANGPARI,Sukasari,Gununghalu,-6.989900000000,107.348900000000,19,16,35,5,1
SPS POS PAUD ANGGREK HI 21,69924132,SPS,Swasta,Puri Cipageran Indah 2 C Rt 03 Rw 21,Tanimulya,Ngamprah,-6.856500000000,107.529900000000,33,30,63,5,4
SPS POS PAUD BALEBAT,69836354,SPS,Swasta,KP. CIBURIAL RT.03 RW.06,Cibogo,Lembang,-6.805157300000,107.597423300000,11,10,21,2,1
SPS POS PAUD CEMPAKA PUTIH,69836359,SPS,Swasta,KP. CICALUNG RT. 03 / 08 JL. MARIBAYA ATAS,Wangunharja,Lembang,-6.802086200000,107.673241500000,10,8,18,4,1
SPS POS PAUD CENDANA 8,69836326,SPS,Swasta,Jl. Kenanga RT 01 RW 08 Kp. Pangragajian,Kayuambon,Lembang,-6.811248900000,107.666035800000,13,11,24,2,1
SPS POS PAUD CERIA,69836304,SPS,Swasta,Kp. Bakti Sejati RT. 01 RW. 09,Gudangkahuripan,Lembang,-6.828062200000,107.612527100000,20,21,41,2,2
SPS POS PAUD FLAMBOYAN CERIA,69836331,SPS,Swasta,KP. Caringin Pencut  RT.03 RW.07,Lembang,Lembang,-6.846987000000,107.617902000000,9,9,18,2,3
SPS POS PAUD HARAPAN BANGSA,69836365,SPS,Swasta,CIBEUYING RT.02 RW.10,Cibodas,Lembang,-6.772403700000,107.611955500000,21,5,26,1,1
SPS POS PAUD HARAPAN BUNDA 12,69836311,SPS,Swasta,Kp. Cirateun Peuntas RT.03 RW.15,Wangunsari,Lembang,-6.813300000000,107.614300000000,22,16,38,3,2
SPS POS PAUD HARAPAN BUNDA 15,69836313,SPS,Swasta,Kp. Areng RT.03 RW.07,Wangunsari,Lembang,-6.802242900000,107.689674600000,30,37,67,3,1
SPS POS PAUD HARAPAN BUNDA 9 AL FURQON,69836316,SPS,Swasta,Kp. Areng RT.01 RW.10,Wangunsari,Lembang,-6.809335900000,107.674454000000,0,0,0,1,1
SPS POS PAUD KANA,69986874,SPS,Swasta,JL.PONDOK DUSTIRA IV RT.05 RW.08,Gadobangkong,Ngamprah,-6.856198200000,107.527622000000,6,12,18,1,2
SPS POS PAUD KENANGA,69937541,SPS,Swasta,Perum Giriasih Permai RT 05 RW 14,Giriasih,Batujajar,-6.896872000000,107.497743000000,15,8,23,2,1
SPS POS PAUD KENANGA,69836307,SPS,Swasta,"Jl. Raya lembang KM.12,6 Cihideung RT. 04 RW. 04",Gudangkahuripan,Lembang,-6.810809700000,107.672088200000,7,7,14,1,1
SPS POS PAUD KENANGA CERIA,69836361,SPS,Swasta,Kp.Cibeunying  Maribaya Timur RT.02 RW.13,Cibodas,Lembang,-6.819381600000,107.638140900000,2,7,9,null,null
SPS POS PAUD MAWAR,69836360,SPS,Swasta,CIBEUREUM RT 04/ 01,Wangunharja,Lembang,-6.809610000000,107.668716000000,39,20,59,3,1
SPS POS PAUD MELATI 03 JAYAGIRI,69836350,SPS,Swasta,Kp. Bewak RT. 02 RW.03,Jayagiri,Lembang,-6.825163200000,107.621455300000,24,15,39,5,2
SPS POS PAUD MELATI 10 ZABAL NUR,69836342,SPS,Swasta,KP. Gunungputri RT. 02 RW.10,Jayagiri,Lembang,-6.854448400000,107.604114200000,15,15,30,1,1
SPS POS PAUD MELATI WANGUNHARJA,69836358,SPS,Swasta,CIKAWARI RT. 03 / 04,Wangunharja,Lembang,-6.793500000000,107.648700000000,34,36,70,3,1
SPS POS PAUD MELATI XI,69836341,SPS,Swasta,Jl. Jayagiri II RT.02 RW.11,Jayagiri,Lembang,-6.844040500000,107.643194200000,13,18,31,2,1
SPS POS PAUD QURROTUL AINI,69836353,SPS,Swasta,Kp. Cilumber RT.02  RW.12,Cibogo,Lembang,-6.794640500000,107.659689500000,14,8,22,2,2
SPS POS PAUD RIYADUL JANNAH,69920418,SPS,Swasta,Kp. Cibali RT.02 RW.05,Cicadas,Rongga,-6.996500000000,107.235200000000,33,19,52,3,2
SPS POS PAUD WIJAYA KUSUMAH,69891595,SPS,Swasta,BUMI PAKUSARAKAN,Tanimulya,Ngamprah,-6.859201000000,107.528220000000,9,6,15,2,1
SPS QATRUNNADA,69836227,SPS,Swasta,Jl. PLTA Saguling Kp. Cipereng,Citalem,Cipongkor,-6.946800000000,107.388900000000,13,11,24,4,1
SPS QIRANIA,69954398,SPS,Swasta,Kp. Ranca RT.01 RW.13,Cibitung,Rongga,-6.955951000000,107.281548400000,35,28,63,5,0
SPS QODARUSSALAM,69988246,SPS,Swasta,Kp. Margamulya Rt 05/07 Ds. Mekarwangi,Mekarwangi,Sindangkerta,-7.028537700000,107.413735800000,30,27,57,0,1
SPS RAHMATUSSYADIAH,69891586,SPS,Swasta,KP.CINANGSI.RT 01 RW 04,Cipatat,Cipatat,-6.830733000000,107.370329000000,7,10,17,2,1
SPS RAUDHAH ASSHOLIHIN,69836147,SPS,Swasta,PASIRPOGOR,Puncaksari,Sindangkerta,-6.983774000000,107.402794000000,23,34,57,1,0
SPS RAUDHATUL JANNAH,69916598,SPS,Swasta,"CIHALIWUNG WETAN , RT. 5 , RW. 3 ,",Sukatani,Ngamprah,-6.838275000000,107.493711000000,9,7,16,2,1
SPS RIYADLUL JANAH,69970705,SPS,Swasta,KP PUNCAK SUJI RT 01 RW 04,Cintaasih,Cipongkor,-6.953899000000,107.342430400000,4,4,8,2,1
SPS RIYADUL JANAH CIPONGKOR,69969627,SPS,Swasta,Kp. Babakan Rt 03/05 Ds. Cijambu,Cijambu,Cipongkor,-6.948088500000,107.306231500000,27,17,44,2,3
SPS RIYADUSSYIFA,70038890,SPS,Swasta,Kp. Ciwalahir No. 20 Rt.001 Rw.007,Cipatat,Cipatat,.000000000000,.000000000000,9,13,22,1,1
SPS ROSELLA,69882691,SPS,Swasta,KP. PAMOYANAN RT.03 RW.14,Padaasih,Cisarua,-6.821477800000,107.534873600000,9,8,17,2,2
SPS SEDAP MALAM,69989007,SPS,Swasta,KP. CISITU RT. 04 RW.11,Cibodas,Lembang,-6.816940100000,107.640709200000,11,11,22,null,null
SPS SEKAR ARUM,69836399,SPS,Swasta,Kp.Warung Domba RT O1 RW 03,Mandalamukti,Cikalongwetan,-6.748600000000,107.445000000000,29,16,45,4,2
SPS SEKARWANGI FIRDAUS,69836305,SPS,Swasta,KP. PASIRWANGI RT. 05 RW 11,Gudangkahuripan,Lembang,-6.832400000000,107.592400000000,22,21,43,4,1
SPS SHOKA LUMIGAR,69929895,SPS,Swasta,Kp. Cisarongge RT.03 RW.01,Mekarmukti,Cihampelas,-6.925194100000,107.410580800000,21,26,47,4,0
SPS SRIWULAN,69973805,SPS,Swasta,Kp. Saronge Rt 02/08 Ds. Girimukti,Girimukti,Cipongkor,-6.948895500000,107.383056600000,0,0,0,0,1
SPS SYARIF HIDAYATULLOH,69836132,SPS,Swasta,Kp.Cicurug RT.002 RW.017,Sirnajaya,Gununghalu,-7.015989100000,107.279350000000,16,17,33,1,1
SPS TAAM AL MARDIYAH,69891588,SPS,Swasta,KP. TIPAR TIMUR RT.03 RW.01,Laksanamekar,Padalarang,-6.805907000000,107.479301500000,7,5,12,1,1
SPS TAAM AL MUBAROK,69924107,SPS,Swasta,Kp. Cikawati RT.02 RW.06,Pakuhaji,Ngamprah,-6.852201000000,107.530386000000,10,8,18,1,2
SPS TAAM AL MUJTABA,69891592,SPS,Swasta,KP. SUDIMAMPIR POJOK RT.03 RW.13,Cempakamekar,Padalarang,-6.811000000000,107.459600000000,17,9,26,3,2
SPS TAAM AL MUTTAQIN,69932971,SPS,Swasta,Kp. Kebonhui  Rt.03/03,Cigugur Girang,Parongpong,-6.823855000000,107.590668000000,12,15,27,3,2
SPS TAAM AL QOMAR,69836249,SPS,Swasta,BLOK RANCA RT. 06 / II,Batujajar Barat,Batujajar,-6.910800000000,107.511000000000,14,13,27,2,1
SPS TAAM AL-BARQI,69836261,SPS,Swasta,KP. WARUNG JAMBE RT.03 RW.10,Rajamandala Kulon,Cipatat,-6.826131000000,107.348313000000,29,25,54,4,1
SPS TAAM Ar-rahman,69836192,SPS,Swasta,Kp. Salakopi RT.05 RW.05,Cihampelas,Cihampelas,-6.935000000000,107.497000000000,15,11,26,2,0
SPS TAAM AT TAQWA,69924110,SPS,Swasta,Jl. Ngamprah Kaler 01/09,Ngamprah,Ngamprah,-6.861449000000,107.513898000000,14,13,27,3,0
SPS TAAM AT TAQWA,69836251,SPS,Swasta,HAURNGAMBANG,Batujajar Timur,Batujajar,-6.910780000000,107.510981000000,23,24,47,3,1
SPS TAAM AT TAQWA AL MUSRI,69933230,SPS,Swasta,Kp. Cijengkol Rt.01 RW 08,Baranangsiang,Cipongkor,-6.931315100000,107.376730900000,21,16,37,2,2
SPS TAAM DARUL MUHSININ,69920295,SPS,Swasta,Jl. Raya Bukit Permata Rt.06/22,Cilame,Ngamprah,-6.810272800000,107.507401200000,6,13,19,2,3
SPS TAAM MAHABBAH,69935850,SPS,Swasta,Kp. Saar Mutiara Rt. 04 Rw.07,Karangtanjung,Cililin,-6.948700000000,107.466900000000,28,26,54,3,2
SPS TAAM MANBAURROSYAD,70025673,SPS,Swasta,KP PASIR PAKU RT 02 RW 11,Giriasih,Batujajar,6.905463200000,107.501419700000,10,14,24,2,2
SPS TAAM MUTIARA BARU,69937833,SPS,Swasta,Kp. Baru Rt. 01/01 No. 23,Cigugur Girang,Parongpong,-6.808473000000,107.586982000000,6,9,15,1,1
SPS TAAM NURUL QOMAR,69836257,SPS,Swasta,KP. SUKAMANAH RT.02.RW.02,Pangauban,Batujajar,-6.892539200000,107.481335500000,21,18,39,3,1
SPS TAAM NURUL WASILAH,69931980,SPS,Swasta,kp.kupanenggang RT. 02/04,Girimukti,Cipongkor,-6.986963000000,107.364279000000,0,0,0,1,1
SPS TAAM THORIQUL HUSNA,70025675,SPS,Swasta,Kp. Gunung Leutik RT 003 RW 012,Batujajar Timur,Batujajar,.000000000000,.000000000000,21,10,31,4,2
SPS TAMISA,69922740,SPS,Swasta,Jl. Pongpok Rt.02 Rw.05,Karyamukti,Cililin,-6.944555200000,107.406057900000,22,26,48,3,0
SPS TERATAI,69836195,SPS,Swasta,Kp.AWILARANGAN RT. 07 RW. 07,Mekarmukti,Cihampelas,-6.950308800000,107.504475900000,22,18,40,4,1
SPS TSABITUL AZMI MELATI XIV,69836346,SPS,Swasta,BARULAKSANA RT 03 RW  14,Jayagiri,Lembang,-6.770067600000,107.601668000000,15,20,35,3,2
SPS TULIP,69836174,SPS,Swasta,JL. Balakasap RT.04 RW.03,Pataruman,Cihampelas,-6.928707700000,107.493700700000,12,25,37,2,1
